station,date,time_in,time_out,zd,dttm,lon,lat,temp,sal,fluor,Bottom Depth (m),Cloud Cover %,Wave Height (ft),Wave Direction (Â°T),Zooplankton Biovol. (ml),Phylosoma Count,Phylosoma Biovol. (ml),Leptocephali Count,Leptocephali Biovol. (ml),Myctophid Count,Myctophid Biovol. (ml),Cephalopod Count,Cephalopod Biovol. (ml),Other Nekton Count,Other Nekton Biovol. (ml),Total Nekton Count,Total Nekton Biovol. (ml),Plastic Pieces,Tar Ball,Halobates Count,Gelatinous Count,Gelatinous Biovol. (ml),Nekton Notes,Gelatinous Notes,Tow Description,dttm_out,tow_length,biodens,moon_phase,moon_risen
S285-001,2019-04-01,23:35:00,00:05:00,-13,2019-04-01T10:35:00Z,173.5536,-43.5616,16.19,34.615,25.49,102,0,3,160,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11.300000000000001,0,1 large jelly (9ml) 1 Vellela Vellela (.2ml) 3 Salps (2.1ml),"There was a lot of 1-2cm Nekton organisms, small orange shrimp, brown plant, algal matter, and some bioluminecsing organisms plus copepods",2019-04-01T11:05:00Z,0.9724285116755336,34.96400978763634,14,FALSE
S285-002,2019-04-02,12:13:00,12:44:00,-13,2019-04-01T23:13:00Z,174.617,-43.5152,15.33,34.576,40.87,473,65,5,24,36,0,0,0,0,0,0,0,0,1,0.5,1,0.5,0,0,0,0,0,1 small fish (.5ml),0,"Very little biomass, mostly copepods",2019-04-01T23:44:00Z,2.438446382288452,14.763498702077035,11,TRUE
S285-003,2019-04-02,23:34:00,00:05:00,-13,2019-04-02T10:34:00Z,175.7961,-43.5828,15.69,34.663,17.86,294,65,7,240,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.5,0,1 Salp Colony (2.5ml),"There were many salps in the sample, only one colony was found. The salps accounted for most of the biomass ad the rest appeared to be small crustaceans (i.e mycids)",2019-04-02T11:05:00Z,0.8844827280444452,57.66082070676371, 8,FALSE
S285-005,2019-04-03,12:14:00,12:44:00,-13,2019-04-02T23:14:00Z,176.9559,-43.6127,15.92,34.644,40.33,382,50,4,163,159,0,0,0,0,3,0.2,0,0,0,0,3,0.2,0,0,0,0,0,3 myctophids (.2ml),NA,"Tow contained a few myctophids, mostly clear salps, and brown green plant/algae/phytoplankton material. Also many vellela vellelas (1 ml). Also one particularly large shrimp.",2019-04-02T23:44:00Z,0.9269116017065478,171.53739332560218, 5,TRUE
S285-006,2019-04-04,00:01:00,00:31:00,-13,2019-04-03T11:01:00Z,177.8344,-43.6903,15.5,34.486,12.27,483,100,5,125,719,0,0,0,0,0,0,0,0,20,10,20,10,0,0,0,5,330,20 fish (10ml),5 salps (360ml),"Full of salps with some fish, some very large salps",2019-04-03T11:31:00Z,2.1959434222852336,327.4219147466761, 3,FALSE
S285-007,2019-04-04,11:45:00,12:15:00,-13,2019-04-03T22:45:00Z,179.2197,-43.9187,15.59,34.473,15.13,543.5,97,2.5,194,190,0,0,0,0,0,0,0,0,5,2,5,2,0,0,0,8,9.5,"5 fish larvae (silver with blue), backs (2 mL)","1 Portguese Man O'War (6 mL), 1 Vellela vellela (0.5 mL), 6 siphonophores (9 mL)","This net tow had a large volume of gelatinous organisms, mostly salps, which were clear and blue.",2019-04-03T23:15:00Z,1.6522838441711651,114.99234872402306, 2,TRUE
S285-008,2019-04-04,23:37:00,00:07:00,-13,2019-04-04T10:37:00Z,-179.1289,-44.1862,16.25,34.502,11.63,443,75,2,136,123,0,0,0,0,197,390,0,0,1,0.2,198,390.2,0,0,0,5,350,"197 myctopids (390 mL), 1 bug (0.2 mL)",5 salps (350 mL),"Tow dominated by myctophids, some very large salps, a fish louse, a few small pieces of kelp, and large volume of semi-degraded plant material",2019-04-04T11:07:00Z,1.8865060277174384,65.1998976906651, 1,FALSE
S285-009,2019-04-05,11:11:00,11:41:00,-13,2019-04-04T22:11:00Z,-177.5721,-44.1068,17.69,34.959,8.76,464,88,2,225,200,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,2,2,2 fish ( 1 mL),2 salps (2 mL),A lot of blue small zooplankton with a lot of salps,2019-04-04T22:41:00Z,2.7921932404695387,71.62828027130664, 0,TRUE
S285-010,2019-04-05,23:02:00,23:33:00,-13,2019-04-05T10:02:00Z,-177.3533,-44.0578,17.65,35.064,9.18,384.9,60,3,135,83,0,0,0,0,11,3,0,0,0,0,11,3,0,0,0,5,73,NA,"4 siphonophores (3 mL), 1 large salp (70 mL)","Salps, siphonophores, myctophids and a lot of other gelatinous critters",2019-04-05T10:33:00Z,2.0595741807444248,40.2995923992405, 0,FALSE
S285-012,2019-04-07,00:04:00,00:34:00,-13,2019-04-06T11:04:00Z,-176.3742,-43.1777,17.38,35.16,11.41,480,10,4,180,523,0,0,0,0,7,2.5,0,0,10,2,17,4.5,0,0,0,0,0,"10 silvery long thin fish (2 mL), 7 myctophids (2.5 mL)",0,Lots of salps and blue copepods,2019-04-06T11:34:00Z,1.130201678796482,462.74926839334296, 1,FALSE
S285-013,2019-04-07,12:06:00,12:37:00,+11,2019-04-07T23:06:00Z,-176.3978,-40.0209,19.07,35.344,4.26,4365,NA,8,122,4,0,0,0,0,0,0,0,0,2,0.5,2,0.5,0,0,0,0,0,2 fish larvae (0.5ml),0,"Light tow, not much there, a few siphonophores",2019-04-07T23:37:00Z,1.8728530670758203,2.1357788661154293, 7,TRUE
S285-014,2019-04-07,23:48:00,00:18:00,+11,2019-04-08T10:48:00Z,-176.3917,-39.7332,19.08,35.226,4.01,4049,13,3,NA,11.9,0,0,0,0,1,0.625,0,0,6,0.45,7,1.075,0,0,0,2,2.66cm and 1.5cm float length,"6 silver, blue backed-fish (0.45mL)",2 Physalia physalia,"sample contains two small man-o-wars, a myctophid and 10 silvery, blue backed fish, 6 of which are >2cm, in addition to zooplankton and smal organisms. There are some small siphonophores and very little gelatinous plankton.",2019-04-08T11:18:00Z,1.2158071826999446,9.787736221111686,10,FALSE
S285-016,2019-04-09,11:34:00,12:04:00,+11,2019-04-09T22:34:00Z,-175.2481,-38.9482,19.38,35.233,3.44,4883,20,8,225,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,"A very light and variable tow. One small salp,several fish larvae, copepods and amphipods, fish eggs.",2019-04-09T23:04:00Z,1.934410193034546,1.5508603143234285,21,TRUE
S285-017,2019-04-09,23:48:00,00:18:00,+11,2019-04-10T10:48:00Z,-174.3021,-38.6278,19.98,35.312,3.5,5189,15,3.5,225,3.7,0,0,0,0,7,0.5,0,0,0,0,7,0.5,0,0,0,0,0,7 myctophids (0.5mL),NA,"There were very few large organisms, many bioluminesence, low biovolume.",2019-04-10T11:18:00Z,1.1766199362347114,3.144600806136542,25,FALSE
